CollectionName;Labels
['BIT'];['s00001950', 's00001950', 's00004213', 's00004213', 's00004213', 's00004214', 's00004214', 's00004215', 's00004215', 's00004216', 's00004216', 's00004216', 's00004217', 's00004217', 's00004217', 's00004218', 's00004218', 's00004218', 's00004219', 's00004219', 's00004219', 's00004220', 's00004220', 's00004221', 's00004221', 's00004221', 's00004222', 's00004222', 's00004222', 's00004223', 's00004223', 's00004223']
['BIT'];['s00002058', 's00002058', 's00002058', 's00002289', 's00002289', 's00002289', 's00002467', 's00002467', 's00002467', 's00002531', 's00002531', 's00002531', 's00002567', 's00002567', 's00002567', 's00002567:2', 's00002567:2', 's00002567:2', 's00002581', 's00002581', 's00002581', 's00002582', 's00002582', 's00002582', 's00002583', 's00002583', 's00002583', 's00002584', 's00002584', 's00002584', 's00002809', 's00002809', 's00002809']
['BIT'];['s00001789', 's00001789', 's00001789', 's00001790', 's00001790']
['BIT'];['s00001130', 's00001130', 's00001130', 's00001131', 's00001131', 's00001131', 's00001132', 's00001132', 's00001132', 's00001133', 's00001133', 's00001133']
['BIT'];['s00001397', 's00001397', 's00001397', 's00003478', 's00003478', 's00003478', 's00003480', 's00003480', 's00003480', 's00003524', 's00003524', 's00003524']
['BIT'];['s00000018', 's00000068', 's00000169', 's00000179', 's00000200', 's00000517', 's00000517', 's00001381', 's00001381', 's00001381', 's00001381', 's00001428', 's00001428', 's00001429', 's00001429', 's00001429', 's00001433', 's00001433', 's00001433', 's00001438', 's00001438', 's00001438', 's00001438', 's00001444', 's00001461', 's00001464', 's00001558', 's00001560', 's00001560', 's00001574', 's00001574', 's00001874', 's00001890', 's00001941', 's00001941', 's00001950', 's00001954', 's00001976', 's00002594', 's00002622', 's00003113', 's00003125', 's00003172', 's00003174', 's00003310', 's00003800', 's00005027', 's00005032', 's00005034', 's00005639', 's00006021', 's00006021', 's00006021', 's00006021', 's00006021', 's00006022', 's00006022', 's00006022', 's00006023', 's00006023', 's00006024', 's00006025', 's00006026', 's00006027', 's00006028', 's00006029', 's00006030', 's00006031', 's00006032', 's00006033', 's00006034', 's00006035', 's00006036', 's00006037', 's00006038', 's00006039', 's00006040', 's00006041', 's00006042', 's00006043', 's00006044', 's00006045', 's00006046', 's00006047', 's00006048', 's00006049', 's00006050', 's00006051', 's00006052', 's00006053', 's00006054', 's00006055', 's00006056', 's00006057', 's00006058', 's00006059', 's00006060', 's00006061', 's00006062', 's00006063', 's00006064', 's00006065', 's00006066', 's00006067', 's00006068', 's00006069', 's00006070', 's00006071', 's00006072', 's00006073', 's00006074', 's00006075', 's00006076', 's00006077', 's00006078', 's00006079', 's00006080', 's00006101', 's00006134', 's00006139', 's00006148', 's00006153', 's00006174', 's00006187', 's00006196', 's00006201', 's00006206', 's00006211']
['BIT'];['s00001005', 's00001005', 's00001005', 's00001275', 's00001275', 's00001275', 's00002027', 's00002027', 's00002027', 's00002028', 's00002028', 's00002028']
['BIT'];['s00001169', 's00001170', 's00001172']
['BIT'];['s00003491', 's00003491', 's00004230', 's00004230', 's00004231', 's00004231', 's00004232', 's00004232', 's00004233', 's00004233']
['BIT'];['s00003438', 's00003438', 's00003438', 's00003446', 's00003446', 's00003446', 's00003451', 's00003451', 's00003451']
['BIT'];['s00003806', 's00003806', 's00003806', 's00003807', 's00003807', 's00003807', 's00003808', 's00003808', 's00003808', 's00003809', 's00003809', 's00003809', 's00003810', 's00003810', 's00003810']
['BIT'];['s00003221', 's00003221', 's00003221']
['BIT'];['s00001196', 's00001196', 's00001196', 's00002708', 's00002708', 's00002955', 's00002955', 's00002956', 's00002956', 's00002957', 's00002958', 's00002959', 's00002960', 's00002961', 's00002961']
['BIT'];['s00001215', 's00001215', 's00001215', 's00002431', 's00002431', 's00002431', 's00002436', 's00002436', 's00002436']
['BIT'];['s00001419', 's00001419', 's00001491', 's00001491', 's00001491']
['BIT'];['s00001419', 's00001419', 's00001491', 's00001491', 's00001491', 's00002417', 's00002417', 's00002718', 's00002718', 's00002718', 's00002723', 's00002723', 's00002723', 's00002725', 's00002725', 's00002725', 's00002966', 's00002966', 's00002966', 's00006034', 's00006034', 's00006034', 's00006035', 's00006035', 's00006035', 's00006036', 's00006036', 's00006036', 's00006037', 's00006038', 's00006038', 's00006038', 's00006039', 's00006039']
['BIT'];['s00001815', 's00001815', 's00001815', 's00002348', 's00002348', 's00002348', 's00002349', 's00002349', 's00002349', 's00002350', 's00002350', 's00002350', 's00002351', 's00002351', 's00002351']
['BIT'];['s00000018', 's00001385', 's00001385', 's00001388', 's00001388', 's00001574', 's00006579', 's00006581', 's00007002', 's00007002', 's00007003', 's00007003', 's00007004', 's00007005', 's00007006', 's00007007', 's00007008', 's00007009', 's00007010', 's00007011', 's00007012', 's00007013', 's00007015', 's00007016', 's00007017', 's00007018', 's00007021', 's00007023', 's00007025', 's00007026', 's00007044', 's00007046', 's00007046', 's00007046', 's00007054', 's00007067', 's00007145', 's00007145', 's00007145', 's00007147', 's00007148', 's00007173']
['BIT'];['s00001787', 's00001787', 's00001787', 's00001793', 's00001793', 's00001794', 's00001794', 's00001794', 's00001795', 's00001795', 's00001795', 's00001796', 's00001796', 's00001796']
['BIT'];['s00002816', 's00002816', 's00002816', 's00002817', 's00002817', 's00002817', 's00002822', 's00002822', 's00002822', 's00002823', 's00002823', 's00002823']
['BIT'];['s00000078', 's00000887', 's00000887', 's00000888', 's00000890', 's00000890', 's00000896', 's00000896', 's00002879', 's00002890', 's00002891', 's00002891', 's00002947', 's00002947', 's00003015', 's00003077', 's00003380', 's00003380', 's00003381', 's00003382', 's00003383', 's00003383']
['BIT'];['s00001051', 's00001051', 's00001051', 's00002163', 's00002163', 's00002163', 's00002164', 's00002164', 's00002164', 's00002165', 's00002165', 's00002165', 's00002166', 's00002166', 's00002166', 's00002167', 's00002167', 's00002167']
