CollectionName;Labels
['BPMAI'];['Allgemeinuntersuchung', 'AngeboteinesTermins', 'AnmeldungbeimDoktor', 'AnmeldungbeimDoktor', 'AnnahmederMedikamente', 'AnnahmederMedikamente', 'Apotheke', 'Arztpraxis/Apotheke', 'Arztpraxis/Apotheke', 'AusgabederMedikamente', 'Doktor', 'Doktorkommt', 'EinweisunginKlinik', 'Empfang', 'ErhaltderAnweisung', 'ErhaltderAnweisung', 'ErhaltderSymptome', 'ErhaltdesRezeptes', 'ErhaltdesTermins', 'ErhaltdesTermins', 'GehindieApotheke', 'GehindieApotheke', 'GehinsKrankenhaus', 'GehinsKrankenhaus', 'hieristIhrMedikament', 'hieristIhrMedikament', 'ichbinkrank', 'ichbinkrank', 'IchbrauchediesesMedikament', 'IchbrauchediesesMedikament', 'Ichm??chtedenDoktorsehen', 'Ichm??chte,dassderDoktormichbesucht', 'Junioren/Leichtkranke', 'kommindiePraxis', 'Krankenhausbesuch', 'Krankenhausbesuch', 'Kurzbehandlung', 'Notfall', 'Patienten', 'Patienten', 'Rezeptaufschreiben', 'Rezeptabgabe', 'Rezeptabgabe', 'Sekret?хrin', 'Senioren/Schwerkranke', 'spontanerBesuch', 'Symptomewerdengesendet', 'Symptomewerdengesendet', 'Terminvereinbarung', 'von810Uhrvorbeikommen']
['BPMAI'];['AddLarozepam0,5mgpo/sublinguallyPRN', 'Alternative1(moreexpensive)', 'Alternative2(cheaper)', 'CheckDysnopeaimproved', 'CheckDyspnoeapresent', 'Clorazepamdrops0.5mgs812hourly', 'GiveAlpragodam', 'Givemorphine12mgmsscq4hourly.Repeat2ndhourlyPRN.', 'Increasefixedscheduledopioiddoseby1050%accordingtosymptomreliefandsideeffects', 'no', 'Nursing/MedicalClinician', 'Nursing/MedicalClinician', 'OnOpioids', 'Opioidnaive', 'Repeat6thhourlyuntilsymptomintensitydeclines', 'yes']
['BPMAI'];['A', 'AA', 'AB', 'AB', 'AC', 'AC', 'AD', 'AD', 'AE', 'AF', 'AG', 'AH', 'AI', 'AJ', 'AK', 'AL', 'AM', 'AN', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'N', 'O', 'P', 'Q', 'R', 'S', 'T', 'U', 'V', 'W', 'X', 'Y', 'Z']
['BPMAI'];['A', 'AA', 'AB', 'AD', 'AE', 'AF', 'AF', 'AF', 'AG', 'AG', 'AG', 'AH', 'AH', 'AH', 'AI', 'AJ', 'AK', 'AL', 'AM', 'AM', 'AM', 'AN', 'AO', 'AP', 'AR', 'AR', 'AR', 'AS', 'AS', 'AS', 'AT', 'AU', 'AV', 'AW', 'AX', 'AZ', 'B', 'BA', 'BA', 'BA', 'BB', 'BB', 'BB', 'BC', 'BD', 'BE', 'BF', 'BG', 'BH', 'BI', 'BI', 'BI', 'BJ', 'BK', 'BL', 'BM', 'BN', 'BO', 'BP', 'BQ', 'BR', 'BS', 'BS', 'BS', 'BT', 'BT', 'BT', 'BU', 'BU', 'BU', 'BV', 'BW', 'BX', 'BX', 'BX', 'BY', 'BZ', 'C', 'D', 'DefaultInputSet', 'DefaultInputSet', 'DefaultInputSet', 'DefaultInputSet', 'DefaultInputSet', 'DefaultInputSet', 'DefaultInputSet', 'DefaultInputSet', 'DefaultInputSet', 'DefaultInputSet', 'DefaultInputSet', 'DefaultInputSet', 'DefaultInputSet', 'DefaultInputSet', 'DefaultInputSet', 'DefaultInputSet', 'DefaultOutputSet', 'DefaultOutputSet', 'DefaultOutputSet', 'DefaultOutputSet', 'DefaultOutputSet', 'DefaultOutputSet', 'DefaultOutputSet', 'DefaultOutputSet', 'DefaultOutputSet', 'DefaultOutputSet', 'DefaultOutputSet', 'DefaultOutputSet', 'DefaultOutputSet', 'DefaultOutputSet', 'DefaultOutputSet', 'DefaultOutputSet', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'L', 'M', 'N', 'O', 'P', 'Q', 'Q', 'R', 'R', 'S', 'T', 'U', 'V', 'W', 'X', 'Y', 'Z']
['BIT'];['s00001147', 's00001147', 's00001147', 's00006221', 's00006221', 's00006221', 's00006222', 's00006222', 's00006223', 's00006223', 's00006223', 's00006224', 's00006224', 's00006224']
['BPMAI'];['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'N', 'O', 'P', 'P', 'Q', 'R', 'R', 'S', 'S', 'T', 'U', 'V']
['BPMAI'];['BusBooking', 'Cancel', 'Check', 'CheckRequest', 'Confirmation', 'Confirmation', 'Confirmation', 'HandledManually', 'HandledManually', 'HotelBooking', 'Success', 'Transactional', 'Unavailable']
['BPMAI'];['AboveMinimum', 'AccountsPayable', 'ApprovePurchaseOrder', 'CheckCurrentInventory', 'Company', 'Company', 'CreatePurchaseOrder', 'EqualorBelowMinimum', 'IssuePayment', 'ReceiveInvoice', 'ReceivePackingSlip', 'RecordInvoice', 'RecordPackingSlip', 'RejectPurchaseOrder', 'ReleaseReservedFunds', 'Requester', 'ReserveFunds', 'ReviewPurchaseOrder', 'ReworkPurchaseOrder', 'SendPurchaseOrdertoSupplier', 'Supervisor', 'Supplier', 'Warehouse']
['BPMAI'];['A', 'B', 'C', 'C', 'D', 'D', 'DefaultInputSet', 'DefaultInputSet', 'DefaultInputSet', 'DefaultOutputSet', 'DefaultOutputSet', 'DefaultOutputSet', 'E']
['BIT'];['s00001260', 's00001260', 's00001260', 's00001717', 's00001717', 's00001717', 's00001729', 's00001729', 's00001729', 's00001730', 's00001730', 's00001730', 's00001731', 's00001731', 's00001731', 's00001732', 's00001732', 's00001732', 's00001733', 's00001733', 's00001733', 's00001734', 's00001734', 's00001734', 's00001735', 's00001735', 's00001735', 's00001736', 's00001736', 's00001736', 's00001737', 's00001737', 's00001737', 's00001738', 's00001738', 's00001738', 's00001739', 's00001739', 's00001739', 's00001740', 's00001740', 's00001740', 's00001741', 's00001741', 's00001741']
['BPMAI'];['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'N', 'N', 'O', 'O']
['BPMAI'];['A', 'AA', 'AC', 'AD', 'AE', 'AF', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'N', 'O', 'P', 'P', 'Q', 'R', 'S', 'T', 'U', 'V', 'W', 'X', 'Y', 'Z']
['BPMAI'];['AssessCondition', 'AssignActionToAsset', 'AssignWorkOrder', 'CarryOutInspection', 'DefaultInputSet', 'DefaultOutputSet', 'DetermineMaintenanceRequirement', 'ExecuteWorkOrder', 'GenerateWorkOrder', 'IdentifyAssetsToBeMaintained', 'IdentifyMaintenanceAction', 'Maintenance', 'MaintenanceRequirements', 'MaintenanceRequirements', 'PrepareScheduleWorkOrder', 'QualityControl', 'ReceiveFaultReport', 'Refurbishment', 'ReportCondition', 'Schedule', 'Schedule', 'ScheduleMaintenance']
['BPMAI'];['A', 'B', 'C', 'D', 'D', 'E', 'F', 'G', 'H', 'H', 'I', 'J', 'K', 'L', 'M', 'N', 'O', 'P']
['BPMAI'];['A', 'B', 'C', 'D', 'DefaultInputSet', 'DefaultOutputSet', 'E', 'F', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'N', 'N', 'O', 'P', 'Q', 'R', 'S']
['BPMAI'];['A', 'AA', 'AB', 'AC', 'AC', 'AC', 'AD', 'AE', 'AE', 'AE', 'AF', 'AG', 'AG', 'AG', 'AH', 'AH', 'AH', 'AI', 'AJ', 'AJ', 'AJ', 'AK', 'AL', 'AL', 'AM', 'AN', 'AN', 'AN', 'AO', 'AP', 'AP', 'AQ', 'AR', 'AS', 'AT', 'AU', 'AV', 'AV', 'AW', 'AW', 'AX', 'AX', 'AY', 'AY', 'AZ', 'AZ', 'B', 'BA', 'BB', 'BC', 'BC', 'BD', 'BD', 'BE', 'BE', 'BF', 'BG', 'BH', 'BH', 'BH', 'BI', 'BJ', 'BJ', 'BJ', 'BK', 'BL', 'BL', 'BM', 'BN', 'BN', 'BO', 'BP', 'BQ', 'BR', 'BS', 'BT', 'BU', 'BV', 'BW', 'BX', 'BY', 'BZ', 'C', 'CA', 'CB', 'CC', 'CD', 'CE', 'CF', 'CG', 'CH', 'CI', 'CJ', 'CK', 'CL', 'CM', 'CN', 'CO', 'CP', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'N', 'O', 'P', 'Q', 'R', 'S', 'T', 'T', 'U', 'V', 'V', 'V', 'W', 'X', 'Y', 'Y', 'Y', 'Z', 'Z', 'Z']
['BPMAI'];['A', 'B', 'C', 'C', 'D', 'E']
['BPMAI'];"['Availableflightisfound', 'Click""Bookonline""', 'Enterflighttype', 'Flightdetails', 'FlightCentre', 'FlightCentre', 'Gotoselectflightpage', 'Gotoselectflightpage', 'Noavailableflightisfound', 'Onewayflight', 'Openhomepage&searchbar', 'Passenger', 'Passenger', 'Retureflight', 'Validateavailableflight']"
['BPMAI'];"[""Checkthebox'invoiceenteredcorrectly'"", 'CompareDetails', 'DataEntryOfficer', 'Ifenteredcorrectly', 'Ifenteredwrongly', 'KeepaRecordofmistake', 'OnceEveryHour', 'Outbox', 'PrintReport', 'ReturnedInvoiceswithError', 'SortInvoice', 'SSP', 'SSP', 'ValidateOfficer@Level7']"
['BPMAI'];['A', 'B', 'C', 'D', 'DefaultInputSet', 'DefaultInputSet', 'DefaultOutputSet', 'DefaultOutputSet', 'DefaultOutputSet', 'E', 'F']
['BPMAI'];"['Age,Gender,Nationality,Occupation,MaritalStatus', 'Age,Gender,Nationality,Occupation,MaritalStatus', 'Age,Gender,Nationality,Occupation,MaritalStatus', '1day', '1Day', '1Hour', '2Hours', '30Minutes', 'Accountant', 'ActuarialOfficer', ""Analyseclient'srecord"", 'ApplicationLodged', 'Applicationsubmitted', 'AppointmentConfirmation', 'AuthoriseQuotation', 'Available', 'AwatingPayment', 'Busy', 'Cash', 'Checkcompletenessofinformation', 'Checkpolicydetails', 'Choosepaymentmethod', ""Clients'recordsnotcompliant"", 'Compareapplicationwithchecklist', 'Completepayment', 'CompletedApplicationForm', 'CompletedApplicationForm', 'Compliant', 'ComputationofPolicy', 'Computequotation', 'Consultant', 'Contacthospitaltomakeappointment', 'ContactAgent', 'CreditCard', 'Customer', 'Customer', 'Customerspecificinformationsent', 'CustomerNoncompliancenotificationprocess', 'DefaultInputSet', 'DefaultInputSet', 'DefaultInputSet', 'DefaultInputSet', 'DefaultOutputSet', 'DefaultOutputSet', 'DefaultOutputSet', 'DefaultOutputSet', 'DiscardApplication', 'DiscardApplication', 'Discardapplication', 'Discusspolicydetails', 'ETFPOS', 'Fillupapplicationform', 'Forwardsignedquotationtoaccounting', 'Freetodiscuss', 'GenerateInvoice', ""Getcustomer'spersonalinformation"", 'GetinformationfromCompanyA', 'GetinformationfromCompanyB', 'GetinformationfromCompanyC', 'GetinformationfromCompanyD', 'Getmedicalinformation', 'Gotowebsite', 'Hospital', 'Hospital', 'Informconsultantandcustomerofnoncompliance', 'Inquireaboutpolicy', 'Inquireaboutpolicydetails', 'InsuranceCompanyClientDatabase', 'InsuranceCompanyClientDatabase', 'InsuranceApplicationForm', 'InsuranceApplicationForm', 'InsuranceBroker', 'InsuranceCompany', 'InsuranceCompany', 'Iscustomereligible?', 'Makingamedicalappointment', 'Medicalappointmentmade', 'Medicalhistory,Smoking,Otherdeclarations', 'Medicalhistory,Smoking,Otherdeclarations', 'Medicalhistory,Smoking,Otherdeclarations', 'MedicalRecords', 'MedicalRecords', 'Meetwithbroker', 'No', 'No', 'Noncompliant', 'Notfreetodiscuss', 'Noticeofnoncompliance', 'NotifyCustomer', 'NotifyCustomer', 'Notifycustomerandconsultant', ""Notifycustomerofrecord'snoncompliance"", 'OnlineProcess', 'Paymentreceiptsent', 'Paymentforinsurancepolicyprocess', 'PaymentNotification', 'PaymentReceived', 'Phone', 'PolicyreleasedtoCustomer', 'Policyreleased', 'Preparequotation', 'ProcessingOfficer', 'Providepersonalinformation', 'Quotationacceptancenotreceived', 'Quotationacceptancenotreceived', 'QuotationReceived', 'QuotationDetails', 'Receivemedicalrecordsfromhospital', 'ReceivenotificationfromActuarialOfficer', 'Receivedspecificinformationfromcustomer', 'Rejectionnotification', 'Releasepolicytocustomer', 'RequestReceived', 'Requestforspecificcustomerinformationreceived', 'Requestforcompliancereceived', 'Requestfordetailedcustomerinformation', 'Requestforspecificcustomerinformation', ""Retrievecustomer'sdetailedinformation"", 'Scheduleappointmentwithhospital', 'SelectaCompany', 'Sendquotationforapproval', 'Sign&resendquotation', 'SignedQuotationReceived', 'Signedquotationreceived', 'Signedquotationnotification', 'StorePolicy', 'Verifycustomerdetails', 'Waitfor1week', 'Wait1weekformedicalrecords', 'Waitfor2Months', 'Yes', 'Yes']"
['BIT'];['s00000642', 's00000819']
['Camunda'];['Ergebnismelden', 'Ja', 'KreditvergabeFrontend', 'Nein', 'SchufaAnfrageabgeschlossen', 'SchufaAnfrageerhalten', 'Schufascoring(Bank)', 'Schufascoring(Bank)', 'Schufaservice(Schufa)', 'Schufaservice(Schufa)', 'Scoringdurchf?§hren(Level1)', 'Scoringermitteln(Level2)', 'Scoringanfrageabgeschlossen', 'Scoringanfrageerhalten', 'Scoringanfragepr?§fen', 'Scoringanfragesenden', 'Scoringergebniserhalten', 'Scoringergebnisweiterleiten', 'sofort?', 'Verz??gerungmelden', 'Verz??gerungsmeldung', 'Verz??gerungsmeldungweiterleiten']
['BPMAI'];['Diagnostik', 'Diagnostik', 'DiagnostikMammakarzinomdurchf?§hren', 'MammographieScreening']
['BPMAI'];['abletofixbytechsupport?', 'Businesssupport', 'Businesssupportrequest', 'Client', 'Client', 'databaseknowledgebase', 'databaseknowledgebase', 'DefaultInputSet', 'DefaultOutputSet', 'Developmentdivision', 'Emailrequest', 'isclientsatisfied?', 'no', 'no', 'Phonerequest', 'Problemsolved', 'Provideanswers', 'Providequalifiedexternalconsultant', 'Providetraining', 'Reporttoclient', 'Requestsupport', 'Sendinvoice', 'Supportdivision', 'Supportdivision', 'Supportrequestanalyzation', 'Technicalstatusreport', 'Technicalstatusreport', 'Technicalsupport', 'Technicalsupportrequest', 'yes', 'yes']
['BPMAI'];['AttachInvoiceEntryForm', 'CheckForCompliance', 'CheckInvoiceforCompleteness', 'Delayed', 'EnterDeadlineAccordingtoSLA', 'FillInvoiceEntryForm', 'HighlightAsUrgent', 'InspectForPreviousDelays', 'InvoiceIsComplete', 'InvoiceisIncomplete', 'InvoiceIsIncomplete', 'LookupSLA', 'NotDelayed', 'SLAKnown', 'SLAUnknown', 'SortBatchContainingInvoiceperClient', 'SortBatchContainingInvoiceperVendor', 'SSPAdminOfficer', 'SSPAdminOfficer']
['BPMAI'];['everytwomonth', 'receivereply', 'registerattendanceondatabase', 'sendattendancerequeststodepartmentschools', 'startpayment']
['BPMAI'];['Anamneseerheben', 'ApparativeDiagnostikdurchf?§hren', 'Arbeitsdiagnose', 'BedsideTestsdurchf?§hren', 'Diagnose', 'K??rperlicheUntersuchungdurchf?§hren', 'Patientgeheiltentlassen', 'ProzessDifferentialdiagnostik', 'ProzessDifferentialdiagnostik', 'Symptom', 'Therapiedurchf?§hren']
['BIT'];['s00000887', 's00000887', 's00000887', 's00001009', 's00001009', 's00001009', 's00001051', 's00001051', 's00001051', 's00001415', 's00001415', 's00001415']
['BPMAI'];['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'N', 'O', 'O', 'P', 'P', 'Q', 'R']
['BPMAI'];['A', 'AA', 'AB', 'AB', 'AC', 'AD', 'AE', 'AF', 'AG', 'AG', 'AH', 'AI', 'AJ', 'AK', 'AK', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'N', 'O', 'P', 'Q', 'R', 'R', 'S', 'T', 'U', 'V', 'W', 'W', 'X', 'Y', 'Z']
['BPMAI'];['A', 'AA', 'AB', 'AC', 'AD', 'AE', 'AF', 'AG', 'AH', 'B', 'C', 'D', 'DefaultInputSet', 'DefaultOutputSet', 'E', 'F', 'G', 'H', 'H', 'I', 'I', 'J', 'K', 'L', 'M', 'N', 'O', 'P', 'Q', 'R', 'S', 'T', 'U', 'V', 'W', 'X', 'Y', 'Z']
['BPMAI'];['A', 'B', 'B', 'C', 'D', 'E', 'F', 'G', 'H']
['BIT'];['s00000527', 's00002536']
['Camunda'];['Ergebniserhalten', 'Ergebniserstellen', 'Ergebnissenden', 'Ergebnisweiterleiten', 'erstesScoringdurchf?§hren(Level1)', 'ja', 'KreditvergabeFrontend(Bank)', 'nein', 'Schufascoring(Bank)', 'Schufascoring(Bank)', 'Schufaservice(Schufa)', 'Schufaservice(Schufa)', 'ScoringErgebnis(Level2)senden', 'Scoringanfrage', 'Scoringanfragegestartet', 'Scoringanfrageweitergeleitet', 'Scoringergebnis', 'sofortigesErgebnism??glich?', 'Verz??gerung', 'Verz??gerunggemeldet', 'Verz??gerungmelden', 'Verz??gerungweiterleiten', 'zweitesScoring(Level2)durchf?§hren']
['Camunda'];['ok', 'Bankinstitut', 'Bankinstitut', 'Ergebnisermittelt', 'Ergebnismitteilen', 'Frontend', 'Level1', 'Level1Ergebnismitteilen', 'Level2', 'Level2Ergebnismitteilen', 'nonok', 'P?§fung1(Level1oder2)', 'Schufa', 'Schufa', 'SchufaLevel2Auskunftberechnen', 'SchufaAuskunfterteilt', 'Scoringanfrage', 'StartScoringanfrage', 'Verz??gerungmitteilen', 'Verz??gerungmitteilen', 'Vorgangabgeschlossen']
['BPMAI'];['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'I', 'J', 'K', 'L', 'M']
['Camunda'];['5Minuten', 'Angestellteninformieren', 'Angestellter', 'Angestellter', 'Bestellungaufgegeben', 'Bestellungaufgeben', 'Bestellungeingeben', 'Essenausgeh?хndigt', 'Essenbezahlen', 'Essenentgegennehmen', 'Essen?§bergeben', 'Gast', 'Gast', 'GasterscheintanderDurchreiche', 'GastistanderReihe', 'Geldkassieren', 'Gerichtausw?хhlen', 'Hungergestillt', 'Hungerversp?§rt', 'Koch', 'Koch', 'Kochinformieren', 'Mahlzeitzubereitet', 'Mahlzeitfertig', 'MahlzeitinDurchreichestellen', 'Mahlzeitverzehren', 'Mahlzeitzubereiten', 'Mahlzeitfertigsollzubereitetwerden', 'Pieperausgel??st', 'Pieperausl??sen', 'Piepereinstellen', 'Piepererhalten', 'Restaurantbetreten', 'ZurDurchreichegehen']
['BPMAI'];['AbholregalundLieferanschriftistdieZEDAT', 'AnzeigedererstenLieferanschriftundggf.weitererLieferanschriften', 'AuthentifizierungundAutorisierung', 'Bestellgruppewirdfestgelegt', 'DerKundeentscheidet,obdieSoftwaref?§reinzentraladministriertenRechnerist', 'Download', 'Gesch?хftsprozessederSoftwarevergabe', 'Gesch?хftsprozessederSoftwarevergabe', 'Ja', 'KundebrauchtSoftware', 'KundegibtdieKontierungsdatenein', 'KundegibtMerkmalezurIdentifizierungdesvorgesehenenRechnersan', 'KundeistingenaueinerBestellgruppe', 'KundeistinkeinerBestellgruppe', 'KundeistinmehrerenBestellgruppen', 'KundekannalternativesAbholregalangeben', 'KundestelltdenWarenkorbzusammen', 'Kundew?хhltdiegew?§nschteBestellgruppeaus', 'Nein', 'perPost', 'StartdertechnischenGenehmigung', 'WieerfolgtdieAuslieferrung?']
['BPMAI'];['antwortet', 'antwortet', 'bedanktsichundw?§nschtsch??nenTag', 'Bezahlungabwickeln', 'fragtnachMinibar', 'fragtnachZufriedenheit', 'fragtoballesinOrdnungwar', 'gibtAnzahlan', 'HotelSpreeblick', 'HotelSpreeblick', 'Kunde', 'Kunde', 'm??chteHotelverlassen']
['BPMAI'];['Capacityandproductavailable', 'Capacityavailable,productnotavailable', 'Capacitynotavailable', 'Checkforcapacityandproduct', 'Checkforrawmaterials', 'Checkforrawmaterials', 'Confirmationoforder', 'CreateInvoice', 'CreateOrderconfirmation', 'Createorderconfirmation', 'Createorderconfirmation', 'Createpurchaseorder', 'Createpurchaseorder', 'CreatePurchaseOrder', 'Createpurchaserequisition', 'Createpurchaserequisition', 'Createpurchaserequisition', 'Customerrequestforproduct', 'End', 'GoodsReceipt', 'GoodsReceipt', 'GoodsReceipt', 'GoodsReceipt', 'GoodsReceipt', 'No', 'NotifyVendor', 'Pick,Packproductandpostgoodsissue', 'PostGoodsIssue', 'Procurementofrawmaterial', 'Rawmaterialnotavailable', 'ReceiveVendorshipment', 'Receivesorderfromcustomer', 'RunMPS/MRP', 'Scheduleandreleaseproposal', 'Sendorderconfirmationtocustomer', 'Sendproductandinvoicetocustomer', 'Sendrejectionoforder', 'Sendingorderrejectiontocustomer', 'Yes']
['BPMAI'];['Agency', 'Agency', 'Badrating', 'CheckeligibilityforBankB', 'Checkifincomeis>2.000?Ђщandrequestedloan<100.000?Ђщ(BankB)', 'Checkifrequestedloanis<20timesmothlyincome(BankA)', 'Checksecuritywithcustomer', 'Customerfillsoutloanrequest', 'Goodrating', 'Morethan25000?Ђщ?', 'No', 'No', 'No', 'No', 'No', 'Requestcreditrating', 'SCHUFA', 'securityavailable?', 'Sendletterofregret', 'Sendofferfor12.5%rate(BankB)', 'Sendofferfor15%rate(BankB)', 'Sendofferfor20%rate(BankA)', 'Sendofferfor22,5%rate(BankB)', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']
['BPMAI'];['A', 'AA', 'AA', 'AA', 'AB', 'AC', 'AD', 'AE', 'AF', 'AG', 'AH', 'AH', 'AH', 'AI', 'AJ', 'AK', 'AL', 'AM', 'AN', 'AO', 'AP', 'AQ', 'AR', 'AS', 'AT', 'AU', 'AV', 'AW', 'AX', 'AY', 'AZ', 'B', 'BA', 'BB', 'BC', 'BD', 'BE', 'BF', 'BF', 'BG', 'BH', 'BI', 'BJ', 'BK', 'BL', 'BM', 'BN', 'BO', 'BP', 'BQ', 'BR', 'BS', 'BT', 'BU', 'BV', 'BW', 'BX', 'BY', 'BZ', 'C', 'CA', 'CB', 'CC', 'CC', 'CD', 'CD', 'CE', 'CE', 'CF', 'CG', 'CH', 'CI', 'CJ', 'CK', 'CP', 'CQ', 'CR', 'CS', 'CT', 'CU', 'CV', 'CW', 'CX', 'CY', 'CZ', 'D', 'D', 'D', 'DA', 'DA', 'DB', 'DB', 'DC', 'DD', 'DE', 'DefaultInputSet', 'DefaultInputSet', 'DefaultInputSet', 'DefaultInputSet', 'DefaultInputSet', 'DefaultOutputSet', 'DefaultOutputSet', 'DefaultOutputSet', 'DefaultOutputSet', 'DefaultOutputSet', 'DF', 'DG', 'DH', 'DH', 'DI', 'DI', 'E', 'F', 'G', 'H', 'I', 'I', 'I', 'J', 'K', 'L', 'M', 'N', 'O', 'P', 'Q', 'R', 'S', 'T', 'U', 'V', 'W', 'X', 'Y', 'Z', 'Z', 'Z']
['BPMAI'];"[""collectdataandconductbusinessanalysiscoveringallaspectsaboutcompany'sproducts"", 'creategraphicsanddevelopdesignfortheleaflet', 'creategraphicsanddevelopdesignforthewhitepaper', 'createwrittenmaterialfortheleaflet', 'createwrittenmaterialforthewhitepaper', 'Developleafletsandwhitepaperscontaininginformationaboutcompany?Ћ“sproducts', 'Developleafletsandwhitepaperscontaininginformationaboutcompany?Ћ“sproducts', 'GraphicDesigner', ""Integratethewhitepaperwithcompany'swebsite"", 'ITStaffMember', 'MarketingManager', 'Printleafletsasordered', 'Printinghouse']"
['BPMAI'];['AhornsirupGeruch', 'Ahornsirupkrankheit', 'Ammoniak', 'Diabetesmellitus', 'Geruch', 'Geruch', 'Hypermethionin?хmie', 'Isovarians?хureAzidose', 'keineweitereDiagnose', 'normal', 'Obstgeruch', 'ranzigerButter/Fisch', 'Schwei?Ѓgeruch', 'stechenderGeruch']
