CollectionName;Labels;is_desired_language
BPMAI;['ACM', 'Computer', 'Repair', 'ACM', 'Computer', 'Repair', 'Bring', 'in', 'computer', 'Explain', 'what', 'the', 'problem', 'is', 'Customer', 'Customer', 'Customer', 'Approves', 'and', 'lets', 'ACM', 'repair', 'computer', 'Customer', 'Pay', 'ACM', 'for', 'Fixing', 'computer', 'Give', 'Customer', 'a', 'copy', 'of', 'documentation', 'and', 'In', 'voice', 'of', 'cost', 'provides', 'the', 'customer', 'with', 'an', 'estimate', 'of', 'time', 'and', 'cost', 'of', 'repair', 'based', 'on', 'the', 'problem'];True
BPMAI;['1', 'month', 'Are', 'we', 'able', 'to', 'get', 'the', 'missing', 'resources', 'Business', 'failure', 'report', 'Business', 'failure', 'report', 'Check', 'available', 'funds', 'Check', 'available', 'people', 'Check', 'available', 'technology', 'Client', 'Client', 'Client', 'report', 'Client', 'report', 'evaluation', 'Create', 'business', 'failure', 'report', 'and', 'in', 'form', 'customer', 'Default', 'Input', 'Set', 'Default', 'Input', 'Set', 'Default', 'Output', 'Set', 'Default', 'Output', 'Set', 'Determine', 'business', 'requirements', 'Developers', 'Evaluate', 'Feasibility', 'Feasibility', 'evaluation', 'Feasible', 'Get', 'more', 'resources', 'Management', 'Money', 'People', 'Recieve', 'clientS', 'W', 'request', 'SCRUM', 'SW', 'company', 'SW', 'company', 'SW', 'specifications', 'document', 'SW', 'specifications', 'document', 'Technology', 'We', 'need', 'some', 'customS', 'W', 'What', 'kind', 'of', 'software'];True
BPMAI;['Accepted', 'by', 'Citi', 'Technology', 'Infrastructure', 'Analyze', 'Capital', 'Expenditure', 'process', 'and', 'approve', 'Capacity', 'Needed', 'Capacity', 'Received', 'Citi', 'Technology', 'Infrastructure', 'C', 'TI', 'Complete', 'provisioning', 'by', 'all', 'teamS', 'AS', 'AN', 'etc', 'Datacenter', 'Operation', 'Design', 'solution', 'by', 'N', 'PISA', 'and', 'SAN', 'team', 'Initiate', 'Technical', 'Capacity', 'Request', 'Line', 'of', 'Business', 'User', 'Project', 'Managers', 'Make', 'available', 'new', 'Capacity', 'for', 'use', 'Perform', 'DataCenter', 'Provisioning', 'Perform', 'Final', 'Business', 'Approval', 'Perform', 'Initial', 'Business', 'Approval', 'Process', 'Capacity', 'purchasing', 'Receive', 'capacity', 'by', 'Central', 'Receiving', 'Request', 'Rejected', 'S', 'AS', 'AN', 'Frame', 'Support', 'Submit', 'Procurement', 'Request', 'in', 'P', '2', 'P', 'Technical', 'Capacity', 'Request', 'system', 'Technical', 'Capacity', 'Request', 'system'];True
BPMAI;['Accounts', 'payable', 'A', 'prove', 'financially', 'A', 'prove', 'the', 'nec', 'esse', 'ty', 'a', 'proved', 'Check', 'and', 'Update', 'vendors', 'details', 'Check', 'completeness', 'Check', 'delivery', 'Check', 'if', 'everything', 'so', 'k', 'Confirm', 'delivery', 'Default', 'Input', 'Set', 'Default', 'Output', 'Set', 'Employee', 'Enter', 'purchase', 'request', 'in', 'Enter', 'price', 'system', 'ERP', 'system', 'ERP', 'System', 'ERP', 'system', 'ERP', 'System', 'Error', 'regarding', 'purchase', 'info', 'FULLY', 'ELECTRONIC', 'PURCHASING', 'PROCESS', 'FULLY', 'ELECTRONIC', 'PURCHASING', 'PROCESS', 'Goods', 'Goods', 'Goods', 'Goods', 'Receipt', 'Dep', 'Handle', 'issue', 'Handle', 'issue', 'Handle', 'issue', 'in', 'voice', 'issue', 'resolved', 'Need', 'for', 'some', 'goods', 'not', 'a', 'proved', 'not', 'complete', 'not', 'ok', 'ok', 'ok', 'ok', 'PO', 'Process', 'compel', 'e', 'ted', 'PurchaseD', 'ep', 'quote', 'Quote', 'expired', 'Request', 'quote', 'update', 'Select', 'vendors', 'Send', 'auto', 'm', 'purchase', 'order', 'viae', 'me', 'il', 'Send', 'Delivery', 'to', 'Employee', 'Supervisors', 'Trigger', 'bank', 'payment', 'Vendor', 'Vendor'];True
BPMAI;['accepted', 'check', 'defect', 'computer', 'back', 'handover', 'repair', 'cost', 'not', 'accepted'];True
BPMAI;['Book', 'a', 'traction', 'Bus', 'Booking', 'Cancel', 'Check', 'Request', 'confirm', 'message', 'false', 'false', 'Hotel', 'Booking', 'Manually', 'handling', 'Transaction', 'Transaction', 'Transaction', 'true', 'true'];True
BPMAI;['1', 'syn', 'set', 'found', 'find', 'best', 'syn', 'set', 'look', 'for', 'instance', 'look', 'for', 'instance', 'look', 'for', 'syn', 'set', 'no', 'syn', 'set', 'found', 'syn', 'sets', 'found'];True
BPMAI;['Warehouse', 'Warehouse', 'Capacity', 'unit', 'i', 'liz', 'ation', 'Capacity', 'unit', 'i', 'liz', 'ation', 'Create', 'order', 'Create', 'PIM', 'purchasing', 'plan', 'Create', 'production', 'order', 'Create', 'purchase', 'order', 'Create', 'shipment', 'orders', 'Create', 'shipment', 'plan', 'Create', 'total', 'demand', 'Customer', 'Customer', 'Customer', 'order', 'Customer', 'order', 'Default', 'Input', 'Set', 'Default', 'Input', 'Set', 'Default', 'Input', 'Set', 'Default', 'Input', 'Set', 'Default', 'Input', 'Set', 'Default', 'Input', 'Set', 'Default', 'Input', 'Set', 'Default', 'Input', 'Set', 'Default', 'Input', 'Set', 'Default', 'Input', 'Set', 'Default', 'Input', 'Set', 'Default', 'Output', 'Set', 'Default', 'Output', 'Set', 'Default', 'Output', 'Set', 'Default', 'Output', 'Set', 'Default', 'Output', 'Set', 'Default', 'Output', 'Set', 'Default', 'Output', 'Set', 'Default', 'Output', 'Set', 'Default', 'Output', 'Set', 'Default', 'Output', 'Set', 'Default', 'Output', 'Set', 'I', 'DC', 'I', 'DC', 'Inventory', 'levels', 'Inventory', 'levels', 'Inventory', 'levels', 'Inventory', 'levels', 'Logic', 'tics', 'Paper', 'mill', 'Paper', 'mill', 'Plant', 'Plant', 'Produce', 'products', 'Production', 'Production', 'order', 'Production', 'order', 'Production', 'Planning', 'Purchase', 'order', 'Purchase', 'order', 'Purchasing', 'Purchasing', 'plan', 'Purchasing', 'plan', 'Receive', 'order', 'for', 'raw', 'materials', 'Receive', 'Production', 'order', 'Receive', 'products', 'Receive', 'products', 'from', 'the', 'I', 'DC', 'plant', 'Receive', 'purchase', 'order', 'Receive', 'raw', 'material', 'from', 'the', 'paper', 'mill', 'supplier', 'Receive', 'raw', 'materials', 'Release', 'products', 'to', 'the', 'customer', 'Release', 'products', 'to', 'the', 'I', 'DC', 'Release', 'raw', 'materials', 'Release', 'raw', 'materials', 'to', 'the', 'plant', 'Release', 'raw', 'materials', 'to', 'the', 'warehouse', 'Sales', 'Send', 'order', 'Send', 'purchase', 'order', 'to', 'the', 'supplier', 'Shipment', 'order', 'Shipment', 'order', 'Shipment', 'plan', 'Shipment', 'plan', 'Store', 'products', 'Store', 'raw', 'materials', 'Supplier', 'Supplier', 'Total', 'demand', 'Total', 'demand'];True
BPMAI;['Accepted', 'Item', 'Cheese', 'Dairy', 'Fruit', 'Categorization', 'Fruits', 'Inventory', 'Updated', 'Milk', 'Non', 'perishable', 'Other', 'Perishable', 'Shelf', 'Bin', 'Categorization', 'Shelf', 'Bin', 'Categorization', 'Stored', 'based', 'on', 'item', 'policy', 'Stored', 'based', 'on', 'item', 'policy', 'Stored', 'based', 'on', 'item', 'policy', 'Stored', 'based', 'on', 'item', 'policy', 'Temperature', 'Weight', 'and', 'Date', 'Center', 'Temperature', 'Weight', 'and', 'Date', 'Center', 'Temperature', 'Weight', 'and', 'Date', 'Center', 'Temperature', 'Weight', 'and', 'Date', 'Center', 'Vegetable', 'Vegetable', 'Categorization'];True
BPMAI;['Client', 'Client', 'Admin', 'Officers', 'Ask', 'client', 'to', 'confirm', 'the', 'in', 'voice', 'Ask', 'client', 'to', 'confirm', 'the', 'service', 'information', 'Categorize', 'the', 'invoices', 'Client', 'confirmed', 'the', 'service', 'information', 'Company', 'Company', 'Forward', 'the', 'in', 'voice', 'to', 'admin', 'officers', 'In', 'voice', 'confirmed', 'client', 'Mail', 'centre', 'Receive', 'in', 'voice', 'send', 'an', 'in', 'voice', 'from', 'Client'];True
